species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Gentoo,50.5,15.9,225,male,5400
Gentoo,44.9,13.3,213,female,5100
Gentoo,45.2,15.8,215,male,5300
Chinstrap,46.5,17.9,192,female,3500
Chinstrap,50,19.5,196,male,3900
Chinstrap,51.3,19.2,193,male,3650
Chinstrap,45.4,18.7,188,female,3525
Chinstrap,52.7,19.8,197,male,3725
Chinstrap,45.2,17.8,198,female,3950
Chinstrap,46.1,18.2,178,female,3250
Chinstrap,51.3,18.2,197,male,3750
Chinstrap,46,18.9,195,female,4150
Chinstrap,51.3,19.9,198,male,3700
Chinstrap,46.6,17.8,193,female,3800
Chinstrap,51.7,20.3,194,male,3775
Chinstrap,47,17.3,185,female,3700
Chinstrap,52,18.1,201,male,4050
Chinstrap,45.9,17.1,190,female,3575
Chinstrap,50.5,19.6,201,male,4050
Chinstrap,50.3,20,197,male,3300
Chinstrap,58,17.8,181,female,3700
Chinstrap,46.4,18.6,190,female,3450
Chinstrap,49.2,18.2,195,male,4400
Chinstrap,42.4,17.3,181,female,3600
Chinstrap,48.5,17.5,191,male,3400
Chinstrap,43.2,16.6,187,female,2900
Chinstrap,50.6,19.4,193,male,3800
Chinstrap,46.7,17.9,195,female,3300
Chinstrap,52,19,197,male,4150
Chinstrap,50.5,18.4,200,female,3400
Chinstrap,49.5,19,200,male,3800
Chinstrap,46.4,17.8,191,female,3700
Chinstrap,52.8,20,205,male,4550
Chinstrap,40.9,16.6,187,female,3200
Chinstrap,54.2,20.8,201,male,4300
Chinstrap,42.5,16.7,187,female,3350
Chinstrap,51,18.8,203,male,4100
Chinstrap,49.7,18.6,195,male,3600
Chinstrap,47.5,16.8,199,female,3900
Chinstrap,47.6,18.3,195,female,3850
Chinstrap,52,20.7,210,male,4800
Chinstrap,46.9,16.6,192,female,2700
Chinstrap,53.5,19.9,205,male,4500
Chinstrap,49,19.5,210,male,3950
Chinstrap,46.2,17.5,187,female,3650
Chinstrap,50.9,19.1,196,male,3550
Chinstrap,45.5,17,196,female,3500
Chinstrap,50.9,17.9,196,female,3675
Chinstrap,50.8,18.5,201,male,4450
Chinstrap,50.1,17.9,190,female,3400
Chinstrap,49,19.6,212,male,4300
Chinstrap,51.5,18.7,187,male,3250
Chinstrap,49.8,17.3,198,female,3675
